evolution$generation,gravityDecay,countryGravityDecay,gammaSectors,gammaLinks,gammaOrigin,gammaDestination,finalTime,mselog,logmse,evolution$samples
500,2589.4587059734235,63.57933086470938,2.64440092171915,1.680873999101431,0.6987116432359985,2.8950809216051576,977.055646855063,5.1579606018999895,34.169485419986565,1
500,5017.133458378962,19.074605895611978,0.0,8.036122315215637,2.4142801899661386,1.9358396246811482,1788.1501751333385,5.05541734702837,34.20547532416014,1
500,5363.005489013835,19.074605895611978,3.9280542873457547,7.404515741942745,1.9471925489102953,1.9358396246811482,1585.0927539728189,5.068755358739457,34.19810197379381,1
500,8460.69482931482,2.7031626153336012,4.199512720229295,2.982467034191141,1.732614934185659,3.0315189277314203,1338.296990622055,5.092344808564021,34.18560550796451,1
500,2670.6443521867914,96.0899487624539,4.090203820694477,7.60736340569217,1.3794963772046334,2.026701905817374,1809.8009475566973,5.085427570641642,34.18896793261215,1
500,5014.201360278142,18.647213846198376,1.4978066018071834,3.3984486208692126,2.221606215698699,1.9753624152250682,1122.0953171334318,5.073213902288261,34.19441930513137,1
500,5014.201092295312,18.647213846198376,1.4978066018071834,3.398448620869213,2.221606215698699,1.9753624152250682,1122.0951019251188,5.073813794686819,34.19715771632798,2
500,3660.5454842056683,45.54846644485086,0.780326567033681,5.1069125183798665,0.7994073165934524,3.9303465531349757,1156.3002864740708,5.13059264440089,34.174488058714815,1
500,3660.5461275747934,45.54846644485086,0.7803254322421593,5.1069125183798665,0.7994073165934523,3.930347190815302,1156.3002864740708,5.1407417904323705,34.17759785976092,2
500,8060.985588164253,22.962983457404565,3.6592850750923223,3.5386322407308035,2.703310931178744,2.8224397318797356,1586.5929316851698,5.1044545466206435,34.205773900449515,3
500,4071.503106098462,18.71512371074167,3.8646363611685497,1.0791004141450289,2.2557320605096387,2.9043532850229936,1624.689456258952,5.091189554283188,34.19404831944579,2
500,2750.165012266819,83.05835040275218,2.758410642052409,6.284127525471495,0.9472354451988108,6.831479720818711,784.2223994307545,5.1341286123027015,34.199311181969236,4
500,2641.447504176911,72.36439826124402,7.8864668485657035,3.703646102768643,3.29443564325399,5.287044641842713,1117.4547760161236,5.158629301492567,34.21172994991928,5
500,7515.261651602935,13.874400594196464,4.30762240765034,3.1372251261965918,1.884385592036644,5.741635997238534,1360.337733810193,5.122529705867003,34.20091154642404,4
500,9615.681572752232,19.817766790876863,4.7394661401969636,9.57410076182893,1.4447492676406037,2.3001868727947428,1207.5894954216772,5.113755354939713,34.21228491403294,4
