evolution$generation,gravityDecay,gammaSectors,gammaLinks,gammaOrigin,gammaDestination,finalTime,mselog,logmse,evolution$samples
50000,5281.55509054676,7.447954417466991,6.185389582087226,20.0,1.1933381189547931,4003.9855366440256,5.21417297900361,33.88384662628535,100
50000,7324.204682482903,1.8500877677941228,4.888663124201918,1.4493866336404917,2.013659650887586,5000.0,4.9047096604596225,34.15385066196094,1
50000,7802.250433774979,7.7808192478595135,12.425485208771104,15.886218421255013,1.3799962129210086,635.3318536762798,5.181079272257043,33.87837020990062,1
50000,847.4756897222503,6.729712129898426,7.034998754508949,5.861330810047369,1.780807839368901,4962.65486060879,5.129349048709623,34.078488481581765,1
50000,5012.080940730494,1.8682771482766425,3.4948362944299802,1.30239570250784,2.0105906223180554,5000.0,4.989960359650529,34.14334104872904,100
50000,8739.468895127544,1.5842121897470096,4.141560908741661,1.1465204811772116,1.734250668848886,1944.3538682676844,5.063847365208282,34.12262372773123,3
50000,8655.651043451235,1.9173076396515418,3.9110119797605396,1.2432632135896928,1.6744402080212404,2542.160219105096,5.0601442507247185,34.12482737476721,4
50000,8653.025220942098,7.935601916399042,9.26468985954362,16.47152131503846,1.366529947831387,1518.9638386966667,5.181555757426838,33.88386964796242,5
50000,876.4589601010658,6.849819837906226,6.92563438349075,6.428676104175719,1.7780685170440016,4889.345880528901,5.140619302502202,34.041615612889146,7
50000,8279.473051882214,1.9434090515545757,2.740042066312714,1.4203193822602893,1.9508246370729367,5000.0,4.956946813435689,34.147679397746536,6
50000,8111.078637085913,1.934342109836211,2.603155900199312,1.3714434823690311,1.9053663834618302,4974.096109801793,4.989675903458523,34.140752677764276,9
50000,8860.95974614932,1.734622987017288,3.4044931691391285,1.1526916281475414,1.7323350451340156,2502.2979748719554,5.07863912506173,34.12137158957273,10
50000,466.1400475614969,7.185294408557446,7.728938732913086,8.10601940952629,1.690067032246863,4686.305309898109,5.150451407582475,33.942662228760845,100
50000,1204.8601864173704,6.548785854211674,6.18423015434189,5.678396562573722,1.796341677988384,4971.909889159086,5.136938023132226,34.09129283825258,11
50000,1070.9898496985772,7.728254229132453,10.039678565079083,8.185705273058499,1.7874677052973709,5000.0,5.148733165434519,33.96856997863204,100
50000,6275.08684872023,1.012372298932633,0.14048421674509454,1.6009253859320318,1.9954479182945395,4975.707721419047,4.939109235158095,34.171869835295425,13
50000,6123.5570648010225,1.4981164808599912,8.672341484251593,1.1551233620509727,1.483354219852295,1642.842719367893,5.102572491865619,34.10031316897745,1
