evolution$generation,evolution$evaluated,gravityDecay,countryGravityDecay,gammaSectors,gammaLinks,gammaOrigin,gammaDestination,finalTime,objective$errorMetropolisation,objective$errorInternationalisation,evolution$samples,errorMetropolisation,errorInternationalisation
4000,52870,24.019158084671258,1.3473314142828015,12.025108148663765,1.648364266761202,0.0,2.286731945535086,100.0,0.8828716658019061,0.0,1,"[0.8828716658019061]","[0.0]"
4000,52870,9523.412087664205,141.8460515621285,1.8690980974537517,19.573839931674403,10.312636745526106,1.9260156129574328,1063.6072210805055,0.39802397415289725,0.33136094674556216,83,"[0.3910307160839921,0.4315013676874525,0.38273577432270656,0.3929171593633122,0.4049204517651237,0.3624933015027112,0.3967715823986574,0.3875046006180486,0.39328449299248325,0.40660245704336084,0.3980203642396001,0.3951648798553,0.4116396475372408,0.4121811451422144,0.3918210014466632,0.39272400034457144,0.4265855104978351,0.4052679017738434,0.4057789987110726,0.38893976287368104,0.4092089294519602,0.4259902549547163,0.38422504036278005,0.4025732975426475,0.38679659711050896,0.3958918260029345,0.4160371649479724,0.40761947266653364,0.4028819888839563,0.3795951715116306,0.39820452023406205,0.3858185107383971,0.4152133065379995,0.4030123288438856,0.39005734185273866,0.3882112841653249,0.39826187193029583,0.39010913444253037,0.39305567844448397,0.41649007589383025,0.3834058087682245,0.39881478653038305,0.3818256434992323,0.3832467373703321,0.41505476345231296,0.40129782011157056,0.40294641162769174,0.4091837387080298,0.39912283518180613,0.395822599099682,0.4027138279300674,0.3912555403249719,0.414623254600342,0.4079477617912074,0.3861979851329751,0.3856610117163083,0.38593133258252954,0.4027089942588934,0.40544720426178993,0.39856404044437965,0.3706205286543537,0.3953148900563386,0.4066386838652938,0.41863084333172806,0.3966571553131222,0.3977023491929117,0.40886935924301115,0.42746666519997123,0.398201144271107,0.40023678983143096,0.38310632557313495,0.39301783275705304,0.3902350134034225,0.3992209103419083,0.38376057063342284,0.3866782932165471,0.3915497481967327,0.4096720033845017,0.3994115846253472,0.39224894726042114,0.3934066812110626,0.39802397415289725,0.3988644143311567]","[0.3157000806234883,0.3224919900320399,0.33446416831032216,0.33666666666666667,0.3240312421264802,0.33422222222222225,0.320244140625,0.3353846153846154,0.34183114279349525,0.3293652445369407,0.33680319260659525,0.34203856749311295,0.33170655567117585,0.3344628099173554,0.3309261186264308,0.3268359375,0.33322314049586776,0.33207100591715977,0.343193359375,0.3178698224852071,0.3408116545265349,0.3366493236212279,0.3212244897959184,0.32080623488309595,0.33038062283737024,0.33428288038087683,0.3312036771042804,0.33136094674556216,0.3275585789871504,0.3311089069629042,0.33038062283737024,0.33150474799123447,0.33200369344413666,0.33048105348024726,0.3303305785123967,0.33377410468319557,0.3195408631772268,0.3178698224852071,0.3366493236212279,0.31649234693877554,0.33002450434395186,0.3313378684807256,0.321890359168242,0.3273469387755102,0.3163579604578564,0.31573964497041423,0.3355102040816327,0.3349382361390405,0.3275585789871504,0.34081811541271,0.33136094674556216,0.3332544378698225,0.3275248589088955,0.336039206950323,0.33377410468319557,0.3347058823529412,0.33193755739210284,0.3264279155188246,0.33953125,0.3293652445369407,0.33071216028565764,0.3406611570247934,0.33836547291092745,0.33656804733727813,0.3269204152249135,0.336094674556213,0.33377410468319557,0.3333769322235434,0.3313072803015275,0.33207100591715977,0.33136110492314547,0.3330612244897959,0.3329757785467128,0.3328997581295351,0.32387755102040816,0.3341093474426808,0.32387923764547144,0.3301456815816857,0.32676378772112386,0.3310192837465565,0.33102040816326533,0.33040816326530614,0.3280623488309594]"
4000,52870,1067.634567252133,0.0,0.14214644198841986,0.039594766426884684,1.2577990147523597,1.0533087803789039,2000.0,0.2260885443085472,0.30005757891562657,1,"[0.2260885443085472]","[0.30005757891562657]"
4000,52870,267.30661918434424,16.68055071859862,0.0,4.1318719522751355,1.0031533190040842,0.9480065691148891,1968.032870010488,0.273391019513512,0.24455324508526885,2,"[0.2605269116415341,0.28625512738548997]","[0.2434875522114009,0.2456189379591368]"
4000,52870,12.63653142853868,0.0,1.5067222050856373,0.0,1.6027743056553756,1.0141223561210388,1977.9894169863003,0.515548639482335,0.018175949924201684,3,"[0.5225401412986241,0.48981931521400296,0.515548639482335]","[0.014455465185479077,0.028054110301769075,0.018175949924201684]"
4000,52870,533.4039643554954,12.658206348120284,0.1596360054257165,2.440078452152469,0.987775145672828,0.9050149682312489,2000.0,0.26564400787048825,0.269645712680669,4,"[0.25884483277578907,0.26116545878426767,0.28062580230240775,0.27012255695670884]","[0.2597278932214832,0.2860946121892244,0.2795635321398548,0.25740188980650663]"
4000,52870,49.243668686831235,0.0,12.731483317113456,1.7628230256068629,0.0,2.526817879319659,100.0,0.8046010894071923,7.716049382716084E-4,2,"[0.7915907416713296,0.8176114371430551]","[5.555555555555869E-4,9.876543209876298E-4]"
4000,52870,47.01226385436877,104.69651359735217,0.5220542806546817,4.951087434195704,0.9019178999092223,0.10887863374779135,984.0004616811424,0.49141691274843013,0.04172116190443334,6,"[0.4658618271789871,0.5081913617140186,0.491558857230375,0.47672702181514937,0.4912749682664853,0.5067118243289995]","[0.02883028896949097,0.05583591600793958,0.04301800591238919,0.04042431789647749,0.025370963418184567,0.04724135234751847]"
4000,52870,2.0184845563762237,111.69050419202398,6.728116883687013,0.930467103696052,0.47880725446425737,3.880543080946,1221.8430165416848,0.755040545241213,0.08859504132231408,48,"[0.7712661294079183,0.7539324533169571,0.7411759959668753,0.7454455368918564,0.716673296633562,0.7833046819249398,0.7660872725279071,0.7829531855194309,0.7648503891880876,0.782758139411214,0.7370068661501401,0.730568216313593,0.7424371667441598,0.7330994145686974,0.7299313209583542,0.7754263271510132,0.7753754107642793,0.7296224487758194,0.7492773623261968,0.7666130916974094,0.775358277887418,0.7580457083826028,0.7300029493837561,0.7403550403072354,0.7436216764128993,0.717775701808409,0.7259598708998545,0.7588159375989061,0.7153100859331564,0.7645230403751099,0.7571038614158394,0.7462456419954766,0.7274231945145552,0.7618967177106386,0.7670931188722189,0.7950704401395657,0.7294927067123841,0.782723040005468,0.7860909024372286,0.743649838771357,0.7664975607922169,0.7748408065706014,0.7561486371654689,0.7327007637691696,0.7636535269300306,0.7036895633426314,0.7402234261597116,0.782911704387173]","[0.07,0.08859504132231408,0.10472222222222222,0.07147928994082842,0.11881656804733728,0.04839506172839508,0.10472222222222222,0.07,0.08859504132231408,0.04839506172839508,0.13122448979591836,0.07510204081632652,0.05611111111111111,0.10472222222222222,0.10472222222222222,0.08859504132231408,0.08859504132231408,0.13122448979591836,0.11881656804733728,0.04222222222222222,0.07,0.07147928994082842,0.05611111111111111,0.08859504132231408,0.04222222222222222,0.0977777777777778,0.08530612244897962,0.08859504132231408,0.04781065088757397,0.08859504132231408,0.10472222222222222,0.13122448979591836,0.07510204081632652,0.04222222222222222,0.08859504132231408,0.14,0.10472222222222222,0.04839506172839508,0.02247933884297526,0.08888888888888888,0.14,0.07,0.10472222222222222,0.10472222222222222,0.03900826446280997,0.08000000000000002,0.10472222222222222,0.04839506172839508]"
4000,52870,4153.260753529451,200.0,17.32787435018598,14.514783911125884,4.2240905987027695,5.448882139419977,729.3033482891437,0.605007480976715,0.24235725308641975,52,"[0.6246876379531958,0.5966207726356871,0.5900801430446657,0.6027401871063469,0.6386997254566971,0.597683778020669,0.6150950280238842,0.6031190432730834,0.5876300858456944,0.5961326985853559,0.6543731040674421,0.5902504762072404,0.6292939063828744,0.5877659436245264,0.6494921713893402,0.6128210570213998,0.5959677181726023,0.6336566330581832,0.5942087793111834,0.6026185620142837,0.5946275388902336,0.5763519194443725,0.6032156598635996,0.6041700080547323,0.6062788062359512,0.6019255775262209,0.6155674743772361,0.6166830541809344,0.6364204813300083,0.6203830237781096,0.5791087970569415,0.6121595902177036,0.6244431672697135,0.6311850834973214,0.631394018233927,0.5933179368253152,0.6147321518621233,0.5905819753411425,0.6119674557340122,0.590241785648551,0.6030902351969964,0.6151164362357047,0.5666880228640803,0.6051521259393997,0.6391502385949993,0.5921179196540666,0.588386559822295,0.6157853629381436,0.6257680964659073,0.6048628360140302,0.614349293166094,0.6271628807275675]","[0.23249999999999998,0.211156462585034,0.25439999999999996,0.27918367346938777,0.22304709141274237,0.2141398865784499,0.25074792243767313,0.2230470914127424,0.25388429752066116,0.1996296296296296,0.22625,0.29933884297520663,0.19811634349030469,0.2046880907372401,0.20000000000000004,0.24290249433106575,0.2406049149338374,0.1715625,0.24708333333333332,0.26135802469135805,0.26834710743801654,0.2821928166351607,0.23750000000000002,0.28005917159763316,0.24520775623268698,0.24975206611570247,0.2175,0.22027700831024932,0.2366666666666667,0.2428395061728395,0.28786389413988656,0.2088888888888889,0.26,0.2202267573696145,0.241875,0.2451700680272109,0.22858725761772855,0.25,0.24,0.275,0.26666666666666666,0.23609977324263037,0.2352892561983471,0.24517006802721092,0.22027700831024932,0.2519727891156463,0.3078472222222222,0.27987654320987654,0.22625,0.2633106575963719,0.28030245746691873,0.1903703703703704]"
