evolution$generation,evolution$evaluated,gravityDecay,gammaSectors,gammaLinks,gammaOrigin,gammaDestination,finalTime,objective$mselog,objective$logmse,evolution$samples,mselog,logmse
10000,48713,5136.275490203756,7.427097819013625,7.6485397184153125,4.028847642094209,2.680384578086472,3890.9112940852215,5.128689243220889,35.08480428569311,95,"[5.126018523141797,5.1308658219200955,5.127505171289712,5.122639084212337,5.127406477379261,5.12256808573882,5.129863103749501,5.126798009035201,5.122928590728252,5.130051358762746,5.1293573154936,5.122814901695078,5.133726701548791,5.128880656803442,5.128689243220889,5.130329057525771,5.127171406845561,5.124833605595848,5.133408225597557,5.127149975185475,5.132701151160554,5.133807595847067,5.129862921074087,5.120056172216253,5.129828795887918,5.131645820309623,5.127959804380815,5.121243982957175,5.125572488365813,5.1169085773225715,5.127121022836858,5.126725691600793,5.121730738453668,5.124166694395333,5.130502739973989,5.127918555350639,5.131366103904142,5.134780626863868,5.124665402685649,5.138618258901969,5.132725071537794,5.12600241335368,5.129425311226412,5.130541763442805,5.125859027950676,5.12720885272659,5.125575521393654,5.12698955763113,5.130758616102086,5.1386068085457275,5.123430386119915,5.131419675518746,5.134142270743731,5.1394473335120905,5.12597132753755,5.1316109821402724,5.13114273058599,5.133569528447771,5.126057690171626,5.124861297654492,5.1253902562429134,5.130321193324604,5.13689284305938,5.140111866086677,5.127969432101805,5.130471359658361,5.136479642231067,5.108686133532363,5.122767331777191,5.1287016200663675,5.1332365074708175,5.1198855708268045,5.1286702196726965,5.133421002700517,5.126684169425187,5.131167205085555,5.133854526085891,5.140107298831928,5.13142653207275,5.122548081056197,5.125311146679096,5.13290164515041,5.124302093793306,5.128680336695353,5.1202692366344245,5.13090570866009,5.134882692339245,5.131955750932157,5.134116641677939,5.132999068694854,5.125561954834209,5.1286517705300065,5.12914887556899,5.127460709079246,5.126300836966123]","[35.060015244313846,35.05339839902585,35.11116331599896,35.09555636291514,35.09364644109142,35.121443022560605,35.10073740061957,35.09034616253727,35.06536802565652,35.110072411541005,35.078278482371985,35.06351252892603,35.10507739679022,35.0815248358931,35.11693386721078,35.064420750583686,35.045383470632196,35.0957781147241,35.074541662427805,35.10452487713938,35.062288109219935,35.07194844672573,35.10019088730921,35.0575471138401,35.07592212241515,35.092288292013656,35.124888112863694,35.106459758881456,35.08223978803869,35.0666286683053,35.14735505689423,35.04744120418461,35.046480957233605,35.08451983503093,35.07655791276554,35.1000027447758,35.07462921277517,35.09536047010807,35.06657024015789,35.06771603978747,35.0689162183701,35.07015186164803,35.11579017996104,35.07383990633481,35.08766222921851,35.08560845915132,35.052828152718405,35.102244636745866,35.0735507244845,35.115104081756186,35.09203930510075,35.10256383531015,35.08061838624938,35.0929991256117,35.06909120617873,35.09867857352963,35.038507346313274,35.12803209311913,35.06945174483471,35.0603025587414,35.091120249755846,35.089962534498284,35.10639654708063,35.11037646478949,35.10190273639056,35.0691110155782,35.124658173960015,35.06239726357149,35.089856337885834,35.11037934977354,35.10038510444957,35.1373564663477,35.05859796521184,35.116668292610385,35.08797709681922,35.064991413222195,35.07484529799823,35.073440276450896,35.06957725131339,35.09552905000041,35.08480428569311,35.09770458077762,35.073509075341654,35.06667968621859,35.08514630939328,35.09022310229792,35.10082157734983,35.07451630119591,35.07861624231556,35.07447910857377,35.06931955747809,35.07213790084272,35.11131355782155,35.1105451586771,35.04761634368859]"
10000,48713,7280.214190420934,4.580559522382186,12.018512886451676,10.82866761125981,0.5156089856621192,3721.5982537909395,5.500540988942322,33.926179140602855,1,"[5.500540988942322]","[33.926179140602855]"
10000,48713,1705.9492665756882,1.6248573941077915,4.368323219886597,1.3685471350303993,2.094640235521204,4953.374962839005,4.919656244011115,34.34679692316726,1,"[4.919656244011115]","[34.34679692316726]"
10000,48713,6763.840216438695,4.454688024055953,13.693157930265162,10.509245544770733,0.46527458011717604,1219.9619138994672,5.390183594640031,33.92812590073605,1,"[5.390183594640031]","[33.92812590073605]"
10000,48713,6652.723517879012,4.431253014181921,15.34597205304306,11.18790076338909,0.43997069122914895,1447.9814545364384,5.418489316819662,33.94991742621349,2,"[5.429951367104312,5.407027266535012]","[33.93468332305227,33.965151529374715]"
10000,48713,888.7910975108855,3.0392540516732303,3.4271397298336974,1.9203488409482505,2.226359090987915,3959.282900206185,5.0110870383239625,34.79635085857569,70,"[5.003560627925928,5.021792017979514,5.01183550844361,5.013097812256392,5.012462761098806,5.025359585847186,5.005017011245569,4.988834029040781,5.0079997698868794,5.020014321773314,4.99970557413818,4.998520460189232,5.01856760513381,5.003300773441533,5.022091721137246,5.021044003219582,5.018662144998386,5.012736654822856,5.014312795225707,5.007147957637439,5.000405510449393,5.0232904243459675,5.007625476948085,4.997822013499373,5.011662901167904,4.984479354718182,5.008676705107296,5.0182341868985,5.023274548468517,5.0133221333956035,5.010206401567116,4.993787118116333,4.999854451691655,5.01132095352704,5.019401147348987,5.015195015253844,4.993057192807987,5.020718866416393,5.027379929323269,5.008696217409845,5.013043182091982,5.033898324449071,5.009785706791616,5.008367722329911,5.004058054358996,5.004184102221941,5.007476101460151,5.0143684656017005,4.979009028076007,5.001950684151253,5.010853123120886,5.009625869467549,5.0333607475261575,4.993537404882701,5.0215900756698755,5.0131177511329215,5.007811956436625,5.025210990734908,5.008265481415896,5.008279166097806,5.0050428515684455,5.000639805488849,5.005342130754743,5.015485189439958,5.007705716720751,5.017412324804965,5.011348821381581,5.029691781807318,5.014075207755941,5.015086682295299]","[34.809873285632705,34.78792817945617,34.800584241280774,34.793093689605826,34.7648479304977,34.87611331884559,34.788997983470715,34.78187065935032,34.778127847259206,34.76808575708775,34.78810849755861,34.80460773429431,34.92618734161123,34.79198465250805,34.85842591866133,34.80826067753418,34.8255444315109,34.825988866605144,34.80138744694589,34.76269778764544,34.760021055497475,34.858318447037846,34.796852847000295,34.81394802141677,34.870769211021205,34.75595637488751,34.79266192184028,34.847287473620305,34.89161281735904,34.81874993431589,34.80187118409745,34.78735476718882,34.817790546615704,34.802782799076546,34.8007560716022,34.8059228879993,34.76623011328779,34.85430257347561,34.77698344721981,34.75837917675587,34.773806436780035,34.892953159438164,34.79640572678757,34.873597806376985,34.80271468842964,34.77695899236434,34.767486604113124,34.76446278887259,34.80109029871139,34.81505729478019,34.794428343653045,34.871091204747366,34.83907070337146,34.794034514616456,34.77126244139858,34.78963136665078,34.793427868747074,34.79216693934808,34.76225639039536,34.79217126926586,34.8027469250073,34.7868952860154,34.766478293188555,34.85675151591925,34.79629599036381,34.79609564085447,34.81193074571969,34.86414660617019,34.77594040847193,34.76045932397299]"
10000,48713,6845.820868703782,4.455140817616773,14.612236901761692,10.710678840745127,0.5161081548868938,1207.0325704247111,5.377448813956715,33.957771255665385,3,"[5.365667416699321,5.377448813956715,5.3859053884377825]","[33.93792347448209,33.96986035925112,33.957771255665385]"
10000,48713,992.1979958551447,2.744035830282546,3.4271315666486375,1.565521786985098,2.192020199096541,4352.404801307811,4.988779966788885,34.50335840832994,68,"[4.964949887687711,5.004355437809612,4.999355057765739,4.963014273155793,4.988917156414383,4.994056975353782,4.971976597028331,4.981112258348778,4.9643250727045825,4.996129535342724,4.988642777163386,5.010600164815348,4.9721491751069244,4.97961122559837,4.960365543777797,4.996714918653942,4.9770614898331464,4.982966898361057,5.013994558523932,4.949018017299074,4.96951688483073,4.9922028621245085,4.967635181274852,4.985774212654864,4.966421234379146,4.96342435313118,4.985511240677272,4.970598588437378,4.992530549378452,5.012617996889864,4.977811788982373,4.980587954019217,4.991189355295599,4.989519656825411,4.9920352342993315,4.999732355660745,4.989907519505381,5.002993860002708,5.004910275723014,4.9920047856583745,4.969729660564199,4.992507858293196,4.9764224597868285,4.993211150499773,4.977652034102538,5.0156309665312975,4.982395064912059,4.989755298587884,4.997374205510489,4.973452477976808,5.013950464208251,4.985001128256254,4.991589232546676,4.994402698301107,4.981854924857714,4.968679269348933,4.990722287134394,5.008335197421405,4.989620110782231,4.984565652066603,4.979782545513454,5.010455884903044,5.01178239334623,4.997981880126959,4.986516508574935,4.9612756318193485,4.995028040577936,4.981259703436578]","[34.50267489625024,34.55370131836894,34.50830901725595,34.56353305471795,34.47244182388898,34.47214277622141,34.462584098396405,34.492999057247665,34.50827839694648,34.49866501671334,34.49025786888592,34.54584560003622,34.488920842462385,34.487068719294264,34.477639149936486,34.51257381095049,34.50885933120763,34.46756187355867,34.48494412088663,34.50131667320626,34.49579414898233,34.51973806129885,34.50345608091061,34.48146860981656,34.48736665480477,34.520686772104106,34.559112717932194,34.506161964409415,34.47129756056678,34.572993002977555,34.46243620679708,34.45440149366542,34.454922987866624,34.47017824772277,34.542621694842545,34.51345034226136,34.550361660834184,34.58656090942012,34.48294576651651,34.51422834358624,34.4964983082563,34.51641718713133,34.559084536549825,34.51634954710447,34.48658762725051,34.47702644939349,34.510713659149914,34.46896976251625,34.57372119295085,34.55435053308827,34.530926917102605,34.55762329615767,34.47921446231836,34.60028378138082,34.56314841158435,34.50498354664585,34.52613258177672,34.48075320848975,34.48436835923182,34.483427436192926,34.503260735749265,34.505005191642,34.57206563897935,34.49378964576912,34.544435227013686,34.47520155423875,34.46918923397642,34.552084064796524]"
10000,48713,8757.308387984405,4.327024509035759,3.8215028152803088,6.883215728616161,0.8745331121009856,542.9312149448523,5.202972354346439,34.05327828206248,5,"[5.195662360419357,5.205861085476631,5.225870189660006,5.2008028913642645,5.202972354346439]","[34.01792598901157,34.06397185271528,34.05327828206248,34.04270151097161,34.11517089718792]"
10000,48713,3969.4351591626364,4.153020559446116,19.974260837133222,9.901971772632546,0.5584885283401407,2920.77201083933,5.4509468483426025,33.94307803361738,6,"[5.465766665751011,5.44845772940238,5.435387683474295,5.453435967282825,5.448080017708486,5.454968846120018]","[33.931146029493576,33.94575205331496,33.94383972640605,33.957734617296786,33.94231634082872,33.92857965887714]"
