from_country;to_country;distance
22;22;2.08074469524997
22;23;1000
22;28;8.87062196339711
22;19;2.23500305395796
22;17;0.903204286830528
22;6;1.75702757791662
22;11;1.88739981723226
22;27;3.12972023749644
22;10;2.71349361074991
22;29;2.01148658739766
22;12;1000
22;13;1.57446442823055
22;2;1.65349765948323
22;20;1000
22;15;4.18047381189262
22;21;1000
22;24;2.32299719755371
22;3;3.0663122456623
22;26;1000
22;1;1000
22;7;1000
22;9;5.04480274563411
22;4;1.85372610142469
22;14;1000
22;5;1000
22;8;2.36111260692452
22;25;1.81392148159469
22;18;1000
22;16;1000
23;22;3.28925435343509
23;23;1.2666211765462
23;28;6.56360958234163
23;19;1000
23;17;1000
23;6;1000
23;11;0.821944609117196
23;27;3.14207994113929
23;10;3.23828826474391
23;29;0.390367913257307
23;12;1000
23;13;1000
23;2;2.03396743517512
23;20;4.16656045627646
23;15;4.13317426194541
23;21;3.32135637655072
23;24;1.60613599010264
23;3;4.45002303559045
23;26;1000
23;1;1000
23;7;1000
23;9;3.10275096429729
23;4;1000
23;14;1000
23;5;1000
23;8;1000
23;25;1000
23;18;1000
23;16;1000
28;22;2.23395924705762
28;23;2.56726713189625
28;28;1.96224883817579
28;19;4.53530226172381
28;17;1.97762000283779
28;6;2.57031345602261
28;11;1.77082477598989
28;27;3.17150457211301
28;10;2.40309739293027
28;29;1.72964156070888
28;12;1.95464617651519
28;13;2.06927129977142
28;2;2.26445665315205
28;20;2.06924873593704
28;15;1.77634103230369
28;21;0.77824215849969
28;24;4.55537648321347
28;3;2.57631479469613
28;26;2.22746530154967
28;1;2.85003124316763
28;7;2.7797555532502
28;9;2.05408290997733
28;4;3.63512353059753
28;14;1.93682023102662
28;5;1000
28;8;1.65043679540837
28;25;1000
28;18;1000
28;16;1000
19;22;0.354740448115471
19;23;0.984383056060102
19;28;0.933925125721291
19;19;1000
19;17;1.43352152189047
19;6;2.25669307362142
19;11;1.912910021558
19;27;1.80843727247175
19;10;2.08688808888842
19;29;2.85749527898491
19;12;-0.176601455702107
19;13;0.100797844672755
19;2;1.68242314846512
19;20;3.39588709119272
19;15;2.69194111896733
19;21;-0.241179056734882
19;24;3.74641367648012
19;3;1.20421113390452
19;26;1.1927309609378
19;1;1.85359327963967
19;7;-0.055689426056496
19;9;2.2147191308823
19;4;1.21392755389534
19;14;7.05343457891042
19;5;0.106137750783539
19;8;2.57789541498519
19;25;5.05869941980994
19;18;1000
19;16;1000
17;22;1.75938798870942
17;23;1000
17;28;0.732504445969131
17;19;1000
17;17;0.539331330682915
17;6;1000
17;11;-0.990544591156128
17;27;4.3129434419806
17;10;1000
17;29;2.19094684607742
17;12;1000
17;13;1000
17;2;1000
17;20;1000
17;15;5.55347699870728
17;21;1000
17;24;1000
17;3;4.65585988482622
17;26;1000
17;1;1000
17;7;1000
17;9;4.07774462210113
17;4;1000
17;14;1000
17;5;4.83096621921884
17;8;0.729814059168186
17;25;1000
17;18;1000
17;16;1000
6;22;2.54720643118703
6;23;1000
6;28;1.4529954170188
6;19;1000
6;17;4.28179191609227
6;6;2.41561796557179
6;11;3.34649339048404
6;27;1.81293784527188
6;10;0.647143835277721
6;29;1000
6;12;1000
6;13;1000
6;2;1000
6;20;1000
6;15;3.48437787992835
6;21;1000
6;24;1000
6;3;3.97640746646516
6;26;1000
6;1;1000
6;7;1000
6;9;1000
6;4;5.9537005871827
6;14;1000
6;5;1000
6;8;1000
6;25;3.65604337138805
6;18;1000
6;16;1000
11;22;2.05761364762757
11;23;2.30463734302938
11;28;2.48245611272729
11;19;4.44160378078184
11;17;3.43525047183961
11;6;2.3211774861468
11;11;2.80063096440083
11;27;2.06202578872301
11;10;2.01334119283109
11;29;1.75372357161956
11;12;0.912604249402582
11;13;1.10128390813021
11;2;0.901484937265227
11;20;2.88843411274114
11;15;2.76452525057855
11;21;1.23167570220805
11;24;2.5369444235927
11;3;2.14612735979527
11;26;2.38960188206433
11;1;1.59397702531322
11;7;0.435761016965767
11;9;2.29818720713591
11;4;1.9213723770654
11;14;4.63447759862342
11;5;2.04774774631576
11;8;3.41917910936636
11;25;3.72646727751388
11;18;1000
11;16;1000
27;22;2.29562427942018
27;23;2.85752062221605
27;28;3.48821231110481
27;19;9.91987303907631
27;17;4.8622016549178
27;6;0.564679627438744
27;11;2.3958601867903
27;27;2.30773756312268
27;10;2.79768962049162
27;29;2.67571920988566
27;12;1.43739710511187
27;13;3.22152359415141
27;2;2.5831537326501
27;20;0.852424789733563
27;15;3.6220449388563
27;21;2.91218045520473
27;24;4.26184949561999
27;3;3.7021467970042
27;26;5.15481498274598
27;1;4.22810477683796
27;7;2.04489102268876
27;9;4.03495046473632
27;4;3.48337111750749
27;14;2.21749947252078
27;5;1000
27;8;2.64931575941263
27;25;1000
27;18;1000
27;16;1000
10;22;2.47081891874726
10;23;2.16051160860265
10;28;1.15870466112714
10;19;1.50969893636875
10;17;3.01654394198783
10;6;3.68935377520486
10;11;1.45342850019136
10;27;2.54008913623182
10;10;1.90206195558498
10;29;2.27898260081082
10;12;1.25012838274379
10;13;1.89236867500801
10;2;1.13212141103095
10;20;4.86024733138416
10;15;2.8893586699687
10;21;0.376279192777538
10;24;1.60192799697738
10;3;2.07286276101026
10;26;2.48275758896725
10;1;1.68551509716248
10;7;2.20532177429677
10;9;3.21940870246317
10;4;3.09696682756352
10;14;3.79503775859803
10;5;1000
10;8;3.14409511721661
10;25;1000
10;18;1000
10;16;1000
29;22;2.12515535629862
29;23;3.27705157704014
29;28;3.37630115613102
29;19;1.80737210373853
29;17;4.06359261064186
29;6;2.59197929962235
29;11;2.33856490395428
29;27;2.82672779428895
29;10;2.51556409551391
29;29;2.64196695625257
29;12;1.45215425282195
29;13;1.58322738024782
29;2;3.15396141570813
29;20;3.70064060546546
29;15;3.62255714128229
29;21;0.994455568102332
29;24;4.0255742184103
29;3;4.98658838125721
29;26;2.26560687416231
29;1;2.08585870914772
29;7;0.829166455456177
29;9;2.74864103923458
29;4;2.94047477293944
29;14;2.81294980486503
29;5;0.15005110755072
29;8;2.4496756241315
29;25;1000
29;18;1000
29;16;1000
12;22;-0.430552474070499
12;23;3.92383700976185
12;28;3.42919869555649
12;19;1000
12;17;1000
12;6;1000
12;11;1000
12;27;2.06077596917569
12;10;3.21227312335728
12;29;3.2050122649071
12;12;2.08056595773098
12;13;2.18457384733426
12;2;1000
12;20;1000
12;15;4.84187162580774
12;21;1000
12;24;-0.445085119540861
12;3;5.04344132164598
12;26;1000
12;1;1000
12;7;1000
12;9;7.46354010216798
