id;name;year;xcor;ycor;country;gdp;sector28;sector41;sector46;sector64;sector68;sector0;sector10;sector20;sector22;sector26;sector27;sector31;sector35;sector43;sector47;sector52;sector58;sector62;sector70;sector73;sector79;sector95;sector9;sector21;sector56;sector2;sector8;sector13;sector82;sector1;sector3;sector6;sector14;sector17;sector19;sector25;sector30;sector32;sector36;sector45;sector49;sector50;sector51;sector61;sector66;sector71;sector72;sector74;sector77;sector78;sector85;sector94;sector96;sector7;sector11;sector23;sector65;sector18;sector15;sector29;sector59;sector80;sector81;sector33;sector42;sector55;sector12;sector53;sector93;sector24;sector38;sector60;sector63;sector69;sector39;sector86;sector92;sector84;sector87;sector16;sector37;sector90;sector91;sector97;sector5;sector88;sector98;sector99;sector75
0;Wien;2010;16.402775210349;48.2682831126263;1;49100835498.6667;3700152;0;3195138;4878200;1526518;393031;2055323;161176;680393;452223;0;0;6226776;12390559;5534918;550736;119008;0;383626;142390;262613;0;276378;0;64315;0;0;0;46870;0;0;25651436;0;1924722;0;276640;0;0;0;0;0;0;2778375;5860455;0;0;59941;0;48587;2821;0;0;388;0;0;4089239;12901230;0;0;0;0;72637;0;0;0;0;365377;2503200;0;4661964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;Wien;2013;16.402775210349;48.2682831126263;1;50925216017.0667;475546;0;5640105;8601300;1302920;41623;2611578;142332;0;12013;0;0;2911400;57829;8172221;15353;307;11459;8225424;146659;465582;0;281311;0;528486;0;0;0;142934;0;0;34243530;0;2205411;0;10158;0;0;0;26531;0;0;0;5108772;68551;0;36104;14246;53355;0;0;0;11536;0;0;3850802;11411015;1500;0;274415;15031;0;0;0;13923848;0;0;2413600;0;254006;0;0;2166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;Wien;2016;16.402775210349;48.2682831126263;1;52749596535.4667;0;0;0;4488;0;101907124;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Graz;2010;15.4626167708437;47.0208296239531;1;4468521045.33333;3647903;0;202639;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;45287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Graz;2013;15.4626167708437;47.0208296239531;1;4772458837.33333;4650674;0;345593;252;851;28256;0;0;0;0;713744;0;0;0;0;0;0;0;520494;0;0;0;0;0;0;0;0;31202;0;0;0;0;0;116674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Graz;2016;15.4626167708437;47.0208296239531;1;5076396629.33333;0;0;0;252;0;12272294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Linz;2010;14.3248972819249;48.4104109056713;1;3998513920;0;0;0;0;0;0;0;34773;0;0;91225;0;0;0;8739;0;20128;0;18250;0;0;0;0;0;0;0;0;59502;0;0;0;0;0;0;0;850864;0;0;0;0;0;0;0;0;0;0;0;0;29655;0;0;0;0;0;0;0;0;0;0;503155;0;0;0;0;0;0;0;0;0;11991342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Linz;2013;14.3248972819249;48.4104109056713;1;4165065625.6;10125;0;545245;0;0;0;0;0;85402;0;119677;0;0;0;3389;1800;23310;0;42702;0;0;0;0;36218;0;0;0;0;0;0;0;0;0;362593;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;546369;0;0;0;0;0;0;0;0;0;12338974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Linz;2016;14.3248972819249;48.4104109056713;1;4331617331.2;0;0;0;0;0;12277311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Salzburg;2010;13.1538363790201;47.8432670443151;1;3288283477.33333;416549;0;41667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23358;0;0;0;0;0;0;0;0;20490;0;0;0;0;0;0;0;0;0;312851;457328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94348;0;454952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
