id_origin;id_destination;year;weight
26;126;2010;1333799
26;122;2010;30997953
42;122;2010;1393408
97;123;2010;342977
97;126;2010;83832346
97;124;2010;2066279
97;122;2010;1992234091
97;127;2010;1168627
65;124;2010;3590748
72;122;2010;232
115;129;2010;369233
115;126;2010;19775470
115;132;2010;442
115;122;2010;1171136005
115;127;2010;1159599
67;122;2010;380773
123;97;2010;186692569
123;115;2010;40743498
123;87;2010;7552
123;51;2010;171353
123;6;2010;83232296
123;28;2010;2276902
123;129;2010;1495728
123;48;2010;4623623695
123;61;2010;182
123;7;2010;1041195
123;20;2010;260489
123;27;2010;17975426
123;81;2010;19436757
123;21;2010;664558431
123;54;2010;43926
123;126;2010;271578337
123;98;2010;3895437
123;100;2010;2525865
123;25;2010;357043
123;27;2010;7584930365
123;56;2010;1152864
123;83;2010;6208064
123;17;2010;67136957
123;125;2010;24648154
123;132;2010;56616
123;1;2010;5673
123;23;2010;250500514
123;15;2010;13695486
123;29;2010;1466
123;124;2010;34359441
123;8;2010;3567
123;122;2010;5746947365
123;63;2010;1819861
123;2;2010;59768
123;96;2010;844438285
123;49;2010;1028266
123;34;2010;2427264132
123;127;2010;6439090
123;116;2010;11059
123;101;2010;12140992
123;16;2010;1306816951
123;24;2010;1169065
123;131;2010;2361
123;30;2010;118743
123;31;2010;81326
123;18;2010;421500441
123;3;2010;334111
123;45;2010;27439
123;85;2010;178826834
123;14;2010;79469
123;75;2010;165388
123;94;2010;6186
123;0;2010;4607067
123;102;2010;43353
87;123;2010;132918
87;126;2010;6071230
87;124;2010;74006
87;122;2010;74232470
51;129;2010;5898
51;122;2010;1808066
22;129;2010;39692
22;122;2010;32178441
6;123;2010;220198
6;129;2010;104560
6;126;2010;21382069
6;124;2010;3198636
6;122;2010;820357370
6;127;2010;61102
79;123;2010;8362984
79;126;2010;1111834
79;132;2010;2
79;124;2010;35525
79;122;2010;120401036
79;127;2010;512535
28;124;2010;3321261
28;122;2010;38831215
108;122;2010;1226132
90;122;2010;14397101
129;97;2010;6369407
129;115;2010;5636039
129;123;2010;3280731
129;51;2010;42419
129;6;2010;9318586
129;48;2010;2193388151
129;81;2010;106048
129;21;2010;6097037
129;126;2010;71301127
129;98;2010;379576
129;100;2010;1906440
129;27;2010;2759640
129;83;2010;361593
129;17;2010;12283446
129;125;2010;192199
129;124;2010;4816214
129;122;2010;1219149317
129;96;2010;63722
129;34;2010;129187135
129;127;2010;341843
129;116;2010;15363
129;16;2010;753712634
129;52;2010;96612
129;30;2010;111463
129;39;2010;1495911
129;106;2010;100607
129;31;2010;507905
129;18;2010;1217
129;0;2010;106896
129;78;2010;1392512
48;123;2010;14138664
48;129;2010;1847866
48;126;2010;181260076
48;125;2010;212198
48;132;2010;1722300
48;124;2010;4538593
48;122;2010;2923494532
48;127;2010;335320
61;122;2010;13135989
61;127;2010;505695
112;122;2010;9845
77;122;2010;444486
7;122;2010;17413939
59;123;2010;8398992
59;129;2010;1677014
59;122;2010;1393576
20;126;2010;344
20;122;2010;911120
20;127;2010;163239
27;126;2010;1237300
27;122;2010;29325442
27;127;2010;14600
81;123;2010;48270478
81;129;2010;1145073
81;126;2010;125452779
81;125;2010;1045263
81;132;2010;645580
81;124;2010;59881786
81;122;2010;2217520205
81;127;2010;1664691
81;131;2010;614018
21;123;2010;25137291
21;126;2010;46080895
21;125;2010;183542000
21;132;2010;526174
21;124;2010;187735
21;122;2010;1574777678
54;123;2010;4589267
54;122;2010;93560
10;126;2010;4961895
10;122;2010;910427
126;97;2010;39667704
126;115;2010;5788919
126;123;2010;15683969
126;6;2010;22445588
126;129;2010;2788999
126;48;2010;2565280534
126;27;2010;16695000
126;81;2010;15520
126;83;2010;4961895
126;17;2010;8577200
126;125;2010;36553161
126;132;2010;339928
126;15;2010;12297699
126;124;2010;29984117
126;122;2010;1126010457
126;96;2010;328363
126;49;2010;4545
126;34;2010;255681895
126;127;2010;5976897
126;74;2010;424889
126;101;2010;4961895
126;16;2010;463267487
126;71;2010;770271
126;131;2010;3091562
126;57;2010;75641
126;0;2010;155320
98;123;2010;744276
98;126;2010;7937769
98;125;2010;101084
98;124;2010;3263505
98;122;2010;222852436
98;127;2010;76460
100;129;2010;1663950
100;122;2010;63952972
100;127;2010;8682
25;123;2010;4677100
25;129;2010;1172193
25;122;2010;8425834
25;127;2010;97928
27;123;2010;128405
27;125;2010;25500
27;122;2010;176252286
56;122;2010;2713884
83;123;2010;8164403
83;126;2010;40845513
83;125;2010;217736000
83;122;2010;1936920716
86;123;2010;4583845
86;122;2010;72595223
69;122;2010;5544728
17;123;2010;34746141
17;129;2010;1010406
17;126;2010;32680691
17;125;2010;14202000
17;132;2010;2808
17;124;2010;4734085
17;122;2010;383437733
17;127;2010;1524663
93;122;2010;4128425
107;122;2010;5166086
125;97;2010;95150650
125;115;2010;13607607
125;123;2010;25938592
125;6;2010;232444
125;129;2010;1176364
125;48;2010;847147018
125;61;2010;36747
125;81;2010;12653039
125;126;2010;128511085
125;25;2010;386770
125;27;2010;770859912
125;17;2010;396596
125;132;2010;498662
125;124;2010;125501184
125;122;2010;1324167210
125;49;2010;43956
125;34;2010;94530566
125;127;2010;13473923
125;16;2010;132359644
125;118;2010;4332
125;18;2010;37541
125;35;2010;886
125;3;2010;312851
132;97;2010;3132654
132;115;2010;3656399
132;123;2010;13550629
132;6;2010;1601328
132;48;2010;633317214
132;81;2010;165561
132;21;2010;550
132;126;2010;60261520
132;100;2010;633710
132;25;2010;365008
132;86;2010;11116
132;17;2010;1383500
132;125;2010;11662183
132;124;2010;1325850
132;122;2010;507659062
132;34;2010;62681693
132;127;2010;414654
132;116;2010;4379
132;16;2010;199179158
